"","avg_temp","year"
"1",13.9587892347601,1901
"2",13.9850398832685,1902
"3",13.6693819714656,1903
"4",13.7672354085603,1904
"5",13.8031167315175,1905
"6",14.2083219844358,1906
"7",13.9897328145266,1907
"8",14.2326183527886,1908
"9",14.0080479896239,1909
"10",14.2784630350195,1910
"11",14.3779802204929,1911
"12",13.4995667963684,1912
"13",14.2382564850843,1913
"14",14.1166536964981,1914
"15",14.0166874189364,1915
"16",13.8254779507134,1916
"17",13.3632597276265,1917
"18",14.1844867055772,1918
"19",14.117766536965,1919
"20",13.6897172503243,1920
"21",15.0929646562905,1921
"22",14.3922898832685,1922
"23",14.0981442931258,1923
"24",13.6743401426719,1924
"25",14.4610956549935,1925
"26",14.1954591439689,1926
"27",14.4913920233463,1927
"28",14.2446086251621,1928
"29",14.0484357976654,1929
"30",14.3337561608301,1930
"31",15.0790087548638,1931
"32",14.3648566796368,1932
"33",14.7197347600519,1933
"34",15.0858446822309,1934
"35",14.1964798962387,1935
"36",14.5560382619974,1936
"37",14.250674773022,1937
"38",14.8679370946822,1938
"39",14.9042535667964,1939
"40",14.1228466277562,1940
"41",14.6113842412451,1941
"42",14.298304150454,1942
"43",14.4111326199741,1943
"44",14.2625097276265,1944
"45",14.3002084954604,1945
"46",14.7793161478599,1946
"47",14.3490959792477,1947
"48",14.184682230869,1948
"49",14.6102817769131,1949
"50",14.365813229572,1950
"51",14.2499072632944,1951
"52",14.5363158236057,1952
"53",14.9695434500649,1953
"54",14.956245460441,1954
"55",14.3674163424125,1955
"56",14.5432743190661,1956
"57",14.5912762645914,1957
"58",14.3248339818418,1958
"59",14.8053793774319,1959
"60",14.2007081712062,1960
"61",14.3268125810636,1961
"62",14.227025616083,1962
"63",14.252579766537,1963
"64",14.2725609597925,1964
"65",14.2795778210117,1965
"66",14.1805006485084,1966
"67",14.2544134241245,1967
"68",14.1243518158236,1968
"69",14.2088751621271,1969
"70",14.3381303501946,1970
"71",14.287147535668,1971
"72",14.2359348249027,1972
"73",14.5729957846952,1973
"74",14.5146640726329,1974
"75",14.2947785343709,1975
"76",14.0967623216602,1976
"77",14.6241267833982,1977
"78",14.0934549286641,1978
"79",14.0661206225681,1979
"80",14.5466692607004,1980
"81",14.7919422827497,1981
"82",14.2383741893645,1982
"83",14.4179033722438,1983
"84",14.6333677042802,1984
"85",14.3405969520104,1985
"86",15.0111183527886,1986
"87",14.8202026588846,1987
"88",14.6021562905318,1988
"89",14.3837843709468,1989
"90",15.2402979896239,1990
"91",15.0238505188067,1991
"92",14.6678236057069,1992
"93",14.3838923476005,1993
"94",14.7401549935149,1994
"95",14.8308641374838,1995
"96",14.6498923476005,1996
"97",14.7295807392996,1997
"98",15.3893294422827,1998
"99",15.1893404669261,1999
"100",14.9698271725032,2000
"101",15.1712895590143,2001
"102",15.1419808690013,2002
"103",14.9682088197147,2003
"104",14.9809134241245,2004
"105",15.1625411802853,2005
"106",15.4927088197147,2006
"107",15.1926802853437,2007
"108",14.8545693904021,2008
"109",14.8034922178988,2009
"110",14.883878080415,2010
"111",15.101007457847,2011
"112",15.959263618677,2012
"113",NA,2013
